NOM,WATERWAY,NAVIGATION,fid,id
Lock 11 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock Geesthacht (double lock),Elbe - Sclhleusenkanal,220 x 25 m,"674","674"
Lock 22 Chamarandes,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,83 m","64","64"
Lock Regensburg,Donau,,"221","221"
Lock 6 Osawa Gora,,57.4 x 9.6 m,"556","556"
Lock Meppen,Dortmund-Ems Kanal,165 x 12 m — height : 7.5 m@@100 x 12 m,"717","717"
Lock Kain,Haut Escaut,124.5 x 14 m — height : 1.69 m,"137","137"
Lock 58 Saint-Dizier,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,11 m","72","72"
Lock Custines,Moselle,"176 x 12 m — height : 3,85 m","103","103"
Lock 6 Loivre,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,62 m","77","77"
Lock Veletov,,,"607","607"
Lock Grand Carré,Canal de la Deûle,"144,6 x 12 m","142","142"
