BB_PORT_CO,BB_COUNTRY,BB_MAIN_EW,BB_PORT_NA,BB_PORT__1,CARGOHACA,CARGOHAE20,CARGOHAE40,CARGORORO,RAILACCESS,PRIV_PORT,BB_COMMENT,BB_COMME_1,LO_LOCODE,fid,id
P 30-05,Poland,E 30,"Kozle (Oder, 96.0 km)","Kozle (Oder, 96,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"402","402"
P 10-01-07,Germany,E 10-01,"Schmehausen (Datteln-Hamm Kanal, 47.0 km)","Schmehausen (Datteln-Hamm Kanal, 47,0 km)",0.5-3 Mt,No information,No information,No information,No information,Yes,,,,"775","775"
P 80-04-01,France,E 80-04,"Bruyères-sur-Oise (Oise, 96.9 km)","Bruyères-sur-Oise (Oise, 96,9 km) St. Ouen-l'Aumône (Oise, 119,2 km)",0.5-3 Mt,Available,Available,Available,Available,No,Containers: under construction,Conteneurs : en construction,,"84","84"
P 10-09-02,Switzerland,E 10-09,"Swiss Rhine Ports (Schweizerische Rheinhäfen) (Rhine, 159.15 km-170.0 km)","Ports Rhénans Suisses (Rhin, 159,15 km – 170,0 km)",>10 Mt,Available,Available,Available,Available,No,,,CHBSL,"857","857"
P 80-21,Germany,E 80,"Grosskotzenburg (Main, 62.0 km)","Grosskotzenburg (Main, 62,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"179","179"
P 40-09,Ukraine,E 40,"Dnipropetrovsk (Dnipro, 393.0 km)","Dnipropetrovsk (Dnipro, 393,0 km)",>10 Mt,Available,No information,Not available,Available,No,Bulk and general cargo,Marchandises diverses et en vrac,UADNK,"436","436"
P 70-02-01,Germany,E 70-02,"Osnabrück (Stichkanal, 13.0 km)","Osnabrück (Stichkanal, 13,0 km)",No information,Not available,Not available,Available,Available,No,,,,"706","706"
P 80-20,Germany,E 80,"Hanau (Main, 56.0–60.0 km)","Hanau (Main, 56,0–60,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,DEHAU,"179","179"
P 10-06,Germany,E 10,"Rheinberg-Ossenberg (Rhine, 806.0 km)","Rheinberg-Ossenberg (Rhin, 806,0 km)",0.5-3 Mt,No information,No information,No information,No information,Yes,,,DERHB,"785","785"
P 70-03-01,Netherlands,E 70-03,"Almelo (Zijkanaal, 17.6 km)","Almelo (Zijkanaal, 17,6 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"792","792"
P 10-24,Germany,E 10,"Koblenz  (Rhine, 596.0 km)","Koblenz  (Rhin, 596,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,,"123","123"
P 81-08,Slovakia,E 81,Púchov (Váh),Púchov (Váh),0.5-3 Mt,No information,No information,No information,No information,No,Port is planned,Port prévu,,"265","265"
P 80-53bis,Bulgaria,E 80,"Oriahovo (Danube, 678.0 km)","Oriahovo (Danube, 678,0 km)",0.5-3 Mt,Not available,Not available,Available,Available,No,,,BGORE,"330","330"
P 10-32,Germany,E 10,"Germersheim  (Rhine, 385.0 km)","Germersheim  (Rhin, 385,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,DEGER,"200","200"
P 01-09,Netherlands,E 01,"Roermond (Maas, 74.3 km)","Roermond (Maas, 74,3 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,NLOMD,"749","749"
P 40-02-03,Ukraine,E 40-02,"Dnipro-Buhskiy (Pivdenny Buh, 16.0 km)","Dnipro–Buhskiy (Pivdenny Buh, 16,0 km)",3-10 Mt,Not available,Not available,Not available,Available,No,"Ore, general cargo","Minéraux, marchandises en vrac",UADNB,"374","374"
P 80-62,Moldova,E 80,"Giurgiulesti (Danube, 133.0 km)","Giurgiulesti (Danube, 133,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,"Oil products, cereals and containers. Ro-Ro and general cargo terminals under construction","Produits pétroliers, céréales et conteneurs. Terminaux RO-RO et de marchandises diverses en construction",,"353","353"
P 01-03bis,Belgium,E 01,"Namur (Meuse, 54.5 km)","Namur (Meuse, 54,5 km)",3-10 Mt,Not available,Not available,Not available,Not available,No,,,,"166","166"
P 80-41,Slovakia,E 80,"Štúrovo (Danube, 1 722.0 km)","Štúrovo (Danube, 1722,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"256","256"
P 91-03-07,Italy,E 91-03,"Conca di Volta Grimana (Mantova-Adriatic Sea Canal, 170.0 km)","Conca di Volta Grimana (Canal Mantova – mer Adriatique, 170,0 km)",No information,No information,No information,No information,No information,No,,,,"391","391"
